Time,Magnitude (nT),X,Y,Z
1997-08-23T15:54:06.567000,-3.2,-8232366.328111131,3895928.4915023646,1765702.0255748872
1997-08-23T15:54:39.900000,-3.12,-8232345.448617094,3895869.9252613434,1765674.2778555441
1997-08-23T15:55:13.234000,-3.1,-8232323.934927322,3895809.58358567,1765645.688979055
1997-08-23T15:55:46.567000,-3.08,-8232303.052552903,3895751.0159858265,1765617.9406439976
1997-08-23T15:56:19.900000,-3.1,-8232282.168759454,3895692.447716557,1765590.192005614
1997-08-23T15:56:53.234000,-3.1,-8232260.650639855,3895632.1039514747,1765561.6021821562
1997-08-23T15:57:26.567000,-3.18,-8232239.763965665,3895573.5343235615,1765533.852928058
1997-08-23T15:57:59.900000,-3.18,-8232218.875872444,3895514.964026401,1765506.1033706034
1997-08-23T15:58:33.234000,-3.2,-8232197.3533226615,3895454.618171731,1765477.5126003262
1997-08-23T15:59:06.567000,-3.28,-8232176.462348581,3895396.046515867,1765449.7624271573
1997-08-23T15:59:39.900000,-3.32,-8232155.569955589,3895337.4741906966,1765422.0119506617
1997-08-23T16:00:13.234000,-3.28,-8232134.042975623,3895277.1262466176,1765393.420233476
1997-08-23T16:00:46.567000,-3.26,-8232113.147701415,3895218.5525626843,1765365.669141266
1997-08-23T16:01:19.900000,-3.2,-8232092.251008412,3895159.978209444,1765337.917745789
1997-08-23T16:01:53.233000,-3.18,-8232070.719597905,3895099.6281758966,1765309.3250816944
1997-08-23T16:02:26.567000,-3.24,-8232049.820023567,3895041.0524639534,1765281.5730704435
1997-08-23T16:02:59.900000,-3.2,-8232028.919030316,3894982.4760827026,1765253.8207559255
1997-08-23T16:03:33.233000,-3.28,-8232007.38318915,3894922.123959687,1765225.227144952
1997-08-23T16:04:06.567000,-3.32,-8231986.479314801,3894863.546219614,1765197.4742146004
1997-08-23T16:04:39.900000,-3.3,-8231965.574020824,3894804.967810353,1765169.7209810116
1997-08-23T16:05:13.233000,-3.26,-8231944.0337491175,3894744.6135978093,1765141.1264231591
1997-08-23T16:05:46.567000,-3.25,-8231923.125573925,3894686.033829786,1765113.3725738262
1997-08-23T16:06:19.900000,-3.22,-8231902.215979581,3894627.4533924554,1765085.6184212263
1997-08-23T16:06:53.233000,-3.26,-8231880.671276737,3894567.0970903835,1765057.0229164055
1997-08-23T16:07:26.567000,-3.2,-8231859.758801057,3894508.51529429,1765029.2681480316
1997-08-23T16:07:59.900000,-3.28,-8231838.844905868,3894449.9328289493,1765001.5130763606
1997-08-23T16:08:33.233000,-3.25,-8231817.295772008,3894389.5744372304,1764972.9166246608
1997-08-23T16:09:06.567000,-3.29,-8231796.378995125,3894330.9906131863,1764945.1609372757
1997-09-18T22:35:18.546000,91.87,557721.0070918134,-316034.8916432385,-139955.39977723587
1997-09-18T22:35:51.879000,91.29,558033.2293747467,-315551.86025506153,-139722.73615307664
1997-09-18T22:36:25.212000,90.64,558354.6277410873,-315054.0302831958,-139482.95070885922
1997-09-18T22:37:59.879000,86.37,559241.6917777217,-313676.8270563998,-138819.63829732736
1997-09-18T22:38:33.212000,86.62,559561.9987479572,-313178.3830894415,-138579.58107621135
1997-09-18T22:40:07.546000,84.77,560446.041718866,-311799.4871785957,-137915.5196175695
1997-09-18T22:40:40.879000,81.45,560755.87017717,-311315.1130953673,-137682.2617818816
1997-09-18T22:43:17.879000,75.49,562226.1445208844,-309008.58585467824,-136571.59985294446
1997-09-18T22:43:51.212000,74.07,562543.7286256452,-308508.63167558354,-136330.87477464654
1997-09-18T22:44:24.545000,72.21,562851.6927064935,-308023.2288459422,-136097.16215342266
1997-09-18T22:44:57.879000,69.81,563159.3814733624,-307537.67534880084,-135863.38296195003
1997-09-18T22:45:31.212000,70.7,563476.1060119543,-307037.2507660046,-135622.45004258832
1997-09-18T22:46:04.545000,70.16,563783.2352972799,-306551.39207321324,-135388.53603377368
1997-09-18T22:46:37.879000,68.01,564090.088767187,-306065.3834074378,-135154.5557900462
1997-09-18T22:47:11.212000,66.91,564405.9521736705,-305564.4905910936,-134913.4160775305
1997-09-18T22:47:44.545000,65.46,564712.2451483106,-305078.17814325663,-134679.3016989641
1997-09-18T22:48:17.879000,64.79,565018.2618097884,-304591.71642052726,-134445.1214225192
1997-09-18T22:48:51.212000,63.84,565333.2625313378,-304090.3575488337,-134203.7759683348
1997-09-18T22:49:24.545000,62.18,565638.7176920503,-303603.59346287535,-133969.46224184832
1997-09-18T22:49:57.879000,61.53,565943.8960465065,-303116.6808023211,-133735.08295544135
1997-09-18T22:50:31.212000,59.64,566258.0325434086,-302614.8580609257,-133493.53281438074
1997-09-18T22:51:04.545000,56.65,566562.648400065,-302127.64446121926,-133259.02076514295
1997-09-18T22:51:37.879000,58.2,566866.9869611855,-301640.2829897162,-133024.44349507487
1997-09-18T22:52:11.212000,55.13,567180.2577068406,-301137.99857278814,-132782.68972574445
1997-09-18T22:52:44.545000,55.86,567484.0327817101,-300650.337591275,-132547.980382291
1997-09-18T22:53:17.879000,53.58,567787.5300766517,-300162.5294429694,-132313.20615799126
1997-09-18T22:53:51.212000,52.62,568099.9335573348,-299659.785552425,-132071.24982248346
1997-09-18T22:54:24.545000,50.22,568402.8663861573,-299171.67932849546,-131836.3442165082
1997-09-18T22:54:57.878000,49.43,568705.5209543554,-298683.4266455786,-131601.37407107113
1997-09-18T22:55:31.212000,46.82,569017.0556702887,-298180.22549042525,-131359.21623451743
1997-09-18T22:56:04.545000,47.31,569319.1448010829,-297691.6761712167,-131124.11540131952
1997-09-18T22:56:37.878000,45.57,569620.9551949668,-297202.9811031499,-130888.9503709977
1997-09-18T22:57:11.212000,46.53,569931.6196586515,-296699.3249007977,-130646.59210234336
1997-09-18T22:57:59.878000,42.71,570369.7004499184,-295988.0183804033,-130304.32368211639
